year,month,pintro_fmd,pintro_lsd,pintro_spgp,pintro_ppr
,1,0.006179261,0.006179261,0.006179261,0.006179261
,2,0.006179261,0.006179261,0.006179261,0.006179261
,3,0.01842347,0.01842347,0.01842347,0.01842347
,4,0.01842347,0.01842347,0.01842347,0.01842347
,5,0.01842347,0.01842347,0.01842347,0.01842347
,6,0.01842347,0.01842347,0.01842347,0.01842347
,7,0.024488888,0.024488888,0.024488888,0.024488888
,8,0.036507516,0.036507516,0.036507516,0.036507516
,9,0.030516826,0.030516826,0.030516826,0.030516826
,10,0.01842347,0.01842347,0.01842347,0.01842347
,11,0.01842347,0.01842347,0.01842347,0.01842347
,12,0.006179261,0.006179261,0.006179261,0.006179261
2017,1,0.006179261,0.006179261,0.006179261,0.006179261
2017,2,0.006179261,0.006179261,0.006179261,0.006179261
2017,3,0.01842347,0.01842347,0.01842347,0.01842347
2017,4,0.01842347,0.01842347,0.01842347,0.01842347
2017,5,0.01842347,0.01842347,0.01842347,0.01842347
2017,6,0.01842347,0.01842347,0.01842347,0.01842347
2017,7,0.024488888,0.024488888,0.024488888,0.024488888
2017,8,0.036507516,0.036507516,0.036507516,0.036507516
2017,9,0.030516826,0.030516826,0.030516826,0.030516826
2017,10,0.01842347,0.01842347,0.01842347,0.01842347
2017,11,0.01842347,0.01842347,0.01842347,0.01842347
2017,12,0.006179261,0.006179261,0.006179261,0.006179261
2018,1,0.006179261,0.006179261,0.006179261,0.006179261
2018,2,0.006179261,0.006179261,0.006179261,0.006179261
2018,3,0.01842347,0.01842347,0.01842347,0.01842347
2018,4,0.01842347,0.01842347,0.01842347,0.01842347
2018,5,0.01842347,0.01842347,0.01842347,0.01842347
2018,6,0.01842347,0.01842347,0.01842347,0.01842347
2018,7,0.024488888,0.024488888,0.024488888,0.024488888
2018,8,0.036507516,0.036507516,0.036507516,0.036507516
2018,9,0.030516826,0.030516826,0.030516826,0.030516826
2018,10,0.01842347,0.01842347,0.01842347,0.01842347
2018,11,0.01842347,0.01842347,0.01842347,0.01842347
2018,12,0.006179261,0.006179261,0.006179261,0.006179261
2019,1,0.006179261,0.006179261,0.006179261,0.006179261
2019,2,0.006179261,0.006179261,0.006179261,0.006179261
2019,3,0.01842347,0.01842347,0.01842347,0.01842347
2019,4,0.01842347,0.01842347,0.01842347,0.01842347
2019,5,0.01842347,0.01842347,0.01842347,0.01842347
2019,6,0.01842347,0.01842347,0.01842347,0.01842347
2019,7,0.024488888,0.024488888,0.024488888,0.024488888
2019,8,0.036507516,0.036507516,0.036507516,0.036507516
2019,9,0.030516826,0.030516826,0.030516826,0.030516826
2019,10,0.01842347,0.01842347,0.01842347,0.01842347
2019,11,0.01842347,0.01842347,0.01842347,0.01842347
2019,12,0.006179261,0.006179261,0.006179261,0.006179261
2020,1,0.006179261,0.006179261,0.006179261,0.006179261
2020,2,0.006179261,0.006179261,0.006179261,0.006179261
2020,3,0.01842347,0.01842347,0.01842347,0.01842347
2020,4,0.01842347,0.01842347,0.01842347,0.01842347
2020,5,0.01842347,0.01842347,0.01842347,0.01842347
2020,6,0.01842347,0.01842347,0.01842347,0.01842347
2020,7,0.024488888,0.024488888,0.024488888,0.024488888
2020,8,0.036507516,0.036507516,0.036507516,0.036507516
2020,9,0.030516826,0.030516826,0.030516826,0.030516826
2020,10,0.01842347,0.01842347,0.01842347,0.01842347
2020,11,0.01842347,0.01842347,0.01842347,0.01842347
2020,12,0.006179261,0.006179261,0.006179261,0.006179261
2021,1,0.006179261,0.006179261,0.006179261,0.006179261
2021,2,0.006179261,0.006179261,0.006179261,0.006179261
2021,3,0.01842347,0.01842347,0.01842347,0.01842347
2021,4,0.01842347,0.01842347,0.01842347,0.01842347
2021,5,0.01842347,0.01842347,0.01842347,0.01842347
2021,6,0.01842347,0.01842347,0.01842347,0.01842347
2021,7,0.024488888,0.024488888,0.024488888,0.024488888
2021,8,0.036507516,0.036507516,0.036507516,0.036507516
2021,9,0.030516826,0.030516826,0.030516826,0.030516826
2021,10,0.01842347,0.01842347,0.01842347,0.01842347
2021,11,0.01842347,0.01842347,0.01842347,0.01842347
2021,12,0.006179261,0.006179261,0.006179261,0.006179261
2022,1,0.006179261,0.006179261,0.006179261,0.006179261
2022,2,0.006179261,0.006179261,0.006179261,0.006179261
2022,3,0.01842347,0.01842347,0.01842347,0.01842347
2022,4,0.01842347,0.01842347,0.01842347,0.01842347
2022,5,0.01842347,0.01842347,0.01842347,0.01842347
2022,6,0.01842347,0.01842347,0.01842347,0.01842347
2022,7,0.024488888,0.024488888,0.024488888,0.024488888
2022,8,0.036507516,0.036507516,0.036507516,0.036507516
2022,9,0.030516826,0.030516826,0.030516826,0.030516826
2022,10,0.01842347,0.01842347,0.01842347,0.01842347
2022,11,0.01842347,0.01842347,0.01842347,0.01842347
2022,12,0.006179261,0.006179261,0.006179261,0.006179261
2023,1,0.006179261,0.006179261,0.006179261,0.006179261
2023,2,0.006179261,0.006179261,0.006179261,0.006179261
2023,3,0.01842347,0.01842347,0.01842347,0.01842347
2023,4,0.01842347,0.01842347,0.01842347,0.01842347
2023,5,0.01842347,0.01842347,0.01842347,0.01842347
2023,6,0.01842347,0.01842347,0.01842347,0.01842347
2023,7,0.024488888,0.024488888,0.024488888,0.024488888
2023,8,0.036507516,0.036507516,0.036507516,0.036507516
2023,9,0.030516826,0.030516826,0.030516826,0.030516826
2023,10,0.01842347,0.01842347,0.01842347,0.01842347
2023,11,0.01842347,0.01842347,0.01842347,0.01842347
2023,12,0.006179261,0.006179261,0.006179261,0.006179261
2024,1,0.006948979,0.006948979,0.006948979,0.006948979
2024,2,0.006948979,0.006948979,0.006948979,0.006948979
2024,3,0.020702409,0.020702409,0.020702409,0.020702409
2024,4,0.020702409,0.020702409,0.020702409,0.020702409
2024,5,0.027507528,0.027507528,0.027507528,0.027507528
2024,6,0.040976228,0.040976228,0.040976228,0.040976228
2024,7,0.034265358,0.034265358,0.034265358,0.034265358
2024,8,0.020702409,0.020702409,0.020702409,0.020702409
2024,9,0.020702409,0.020702409,0.020702409,0.020702409
2024,10,0.006948979,0.006948979,0.006948979,0.006948979
2024,11,0.006948979,0.006948979,0.006948979,0.006948979
2024,12,0.006948979,0.006948979,0.006948979,0.006948979
2025,1,0.006948979,0.006948979,0.006948979,0.006948979
2025,2,0.006948979,0.006948979,0.006948979,0.006948979
2025,3,0.020702409,0.020702409,0.020702409,0.020702409
2025,4,0.020702409,0.020702409,0.020702409,0.020702409
2025,5,0.027507528,0.027507528,0.027507528,0.027507528
2025,6,0.040976228,0.040976228,0.040976228,0.040976228
2025,7,0.034265358,0.034265358,0.034265358,0.034265358
2025,8,0.020702409,0.020702409,0.020702409,0.020702409
2025,9,0.020702409,0.020702409,0.020702409,0.020702409
2025,10,0.006948979,0.006948979,0.006948979,0.006948979
2025,11,0.006948979,0.006948979,0.006948979,0.006948979
2025,12,0.006948979,0.006948979,0.006948979,0.006948979
2026,1,0.005705292,0.005705292,0.017615996,0.017615996
2026,2,0.017018411,0.017018411,0.051922486,0.051922486
2026,3,0.017018411,0.017018411,0.051922486,0.051922486
2026,4,0.022626608,0.022626608,0.068623816,0.068623816
2026,5,0.033747196,0.033747196,0.101149027,0.101149027
2026,6,0.028202809,0.028202809,0.085030935,0.085030935
2026,7,0.017018411,0.017018411,0.051922486,0.051922486
2026,8,0.017018411,0.017018411,0.051922486,0.051922486
2026,9,0.005705292,0.005705292,0.017615996,0.017615996
2026,10,0.028202809,0.028202809,0.085030935,0.085030935
2026,11,0.022626608,0.022626608,0.068623816,0.068623816
2026,12,0.005705292,0.005705292,0.017615996,0.017615996
