disease,param,value_fsse,value_edsse,region
FMD,PstarH,0.02,0.02,GRC
FMD,PstarA,0.2,0.1,GRC
FMD,PIntro,0.2,0.2,GRC
FMD,USe_1,0.92,0.92,GRC
FMD,USe_2,0.2,0.2,GRC
FMD,USe_3,0.3,0.3,GRC
FMD,RR_high,3,3,GRC
FMD,RR_low,1,1,GRC
FMD,PrP_high,0.72,0.72,GRC
FMD,PrP_low,0.28,0.28,GRC
LSD,PstarH,0.02,0.02,GRC
LSD,PstarA,0.2,0.1,GRC
LSD,PIntro,0.2,0.5,GRC
LSD,USe_1,0.9,0.9,GRC
LSD,USe_2,0.8,0.8,GRC
LSD,USe_3,0,0,GRC
LSD,RR_high,3,3,GRC
LSD,RR_low,1,1,GRC
LSD,PrP_high,0.72,0.72,GRC
LSD,PrP_low,0.28,0.28,GRC
SGP,PstarH,0.02,0.02,GRC
SGP,PstarA,0.2,0.1,GRC
SGP,PIntro,0.5,0.5,GRC
SGP,USe_1,0.5,0.5,GRC
SGP,USe_2,0.8,0.8,GRC
SGP,USe_3,0,0,GRC
SGP,RR_high,1.5,1.5,GRC
SGP,RR_low,1,1,GRC
SGP,PrP_high,0.72,0.72,GRC
SGP,PrP_low,0.28,0.28,GRC
PPR,PstarH,0.02,0.02,GRC
PPR,PstarA,0.2,0.1,GRC
PPR,PIntro,0.5,0.5,GRC
PPR,USe_1,0.945,0.945,GRC
PPR,USe_2,0.2,0.2,GRC
PPR,USe_3,0,0,GRC
PPR,RR_high,1.5,1.5,GRC
PPR,RR_low,1,1,GRC
PPR,PrP_high,0.72,0.72,GRC
PPR,PrP_low,0.28,0.28,GRC
FMD,PstarH,0.02,0.02,BGR
FMD,PstarA,0.2,0.1,BGR
FMD,PIntro,0.2,0.2,BGR
FMD,USe_1,0.92,0.92,BGR
FMD,USe_2,0.2,0.2,BGR
FMD,USe_3,0.3,0.3,BGR
FMD,RR_high,3,3,BGR
FMD,RR_low,1,1,BGR
FMD,PrP_high,0.03,0.03,BGR
FMD,PrP_low,0.97,0.97,BGR
LSD,PstarH,0.02,0.02,BGR
LSD,PstarA,0.2,0.1,BGR
LSD,PIntro,0.2,0.5,BGR
LSD,USe_1,0.9,0.9,BGR
LSD,USe_2,0.8,0.8,BGR
LSD,USe_3,0,0,BGR
LSD,RR_high,3,3,BGR
LSD,RR_low,1,1,BGR
LSD,PrP_high,0.03,0.03,BGR
LSD,PrP_low,0.97,0.97,BGR
SGP,PstarH,0.02,0.02,BGR
SGP,PstarA,0.2,0.1,BGR
SGP,PIntro,0.5,0.5,BGR
SGP,USe_1,0.5,0.5,BGR
SGP,USe_2,0.8,0.8,BGR
SGP,USe_3,0,0,BGR
SGP,RR_high,1.5,1.5,BGR
SGP,RR_low,1,1,BGR
SGP,PrP_high,0.03,0.03,BGR
SGP,PrP_low,0.97,0.97,BGR
PPR,PstarH,0.02,0.02,BGR
PPR,PstarA,0.2,0.1,BGR
PPR,PIntro,0.5,0.5,BGR
PPR,USe_1,0.945,0.945,BGR
PPR,USe_2,0.2,0.2,BGR
PPR,USe_3,0,0,BGR
PPR,RR_high,1.5,1.5,BGR
PPR,RR_low,1,1,BGR
PPR,PrP_high,0.03,0.03,BGR
PPR,PrP_low,0.97,0.97,BGR
FMD,PstarH,0.02,0.02,TUR
FMD,PstarA,0.2,0.1,TUR
FMD,PIntro,0.2,0.2,TUR
FMD,USe_1,0.92,0.92,TUR
FMD,USe_2,0.2,0.2,TUR
FMD,USe_3,0.3,0.3,TUR
FMD,RR_high,3,3,TUR
FMD,RR_low,1,1,TUR
FMD,PrP_high,0.13,0.13,TUR
FMD,PrP_low,0.87,0.87,TUR
LSD,PstarH,0.02,0.02,TUR
LSD,PstarA,0.2,0.1,TUR
LSD,PIntro,0.2,0.5,TUR
LSD,USe_1,0.9,0.9,TUR
LSD,USe_2,0.8,0.8,TUR
LSD,USe_3,0,0,TUR
LSD,RR_high,3,3,TUR
LSD,RR_low,1,1,TUR
LSD,PrP_high,0.13,0.13,TUR
LSD,PrP_low,0.87,0.87,TUR
SGP,PstarH,0.02,0.02,TUR
SGP,PstarA,0.2,0.1,TUR
SGP,PIntro,0.5,0.5,TUR
SGP,USe_1,0.5,0.5,TUR
SGP,USe_2,0.8,0.8,TUR
SGP,USe_3,0,0,TUR
SGP,RR_high,1.5,1.5,TUR
SGP,RR_low,1,1,TUR
SGP,PrP_high,0.13,0.13,TUR
SGP,PrP_low,0.87,0.87,TUR
PPR,PstarH,0.02,0.02,TUR
PPR,PstarA,0.2,0.1,TUR
PPR,PIntro,0.5,0.5,TUR
PPR,USe_1,0.945,0.945,TUR
PPR,USe_2,0.2,0.2,TUR
PPR,USe_3,0,0,TUR
PPR,RR_high,1.5,1.5,TUR
PPR,RR_low,1,1,TUR
PPR,PrP_high,0.13,0.13,TUR
PPR,PrP_low,0.87,0.87,TUR
FMD,t_cov,,1,TUR
LSD,t_cov,,1,TUR
PPR,t_cov,,1,TUR
SGP,t_cov,,1,TUR
FMD,t_cov,,1,BGR
LSD,t_cov,,1,BGR
PPR,t_cov,,1,BGR
SGP,t_cov,,1,BGR
FMD,t_cov,,1,GRC
LSD,t_cov,,1,GRC
PPR,t_cov,,1,GRC
SGP,t_cov,,1,GRC
